,log_no,date,time
127,81684,2009-06-18 05:57:42,rpd: %DAEMON-: ted_client reset
128,81949,2009-06-18 08:45:15,rpd: %DAEMON-: ted_client reset
129,85922,2009-06-20 08:04:35,rpd: %DAEMON-: ted_client reset
130,86419,2009-06-20 12:58:55,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
131,88684,2009-06-21 12:07:39,rpd: %DAEMON-: ted_client reset
132,95414,2009-06-24 19:53:26,rpd: %DAEMON-: ted_client reset
133,100810,2009-06-27 12:55:59,rpd: %DAEMON-: ted_client reset
134,102480,2009-06-28 08:59:36,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
135,102780,2009-06-28 12:36:38,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (External AS ): received unexpected EOF
136,103069,2009-06-28 15:17:05,rpd: %DAEMON-: ted_client reset
137,103144,2009-06-28 15:17:22,rpd: %DAEMON-: ted_client reset
138,104725,2009-06-29 09:21:25,rpd: %DAEMON-: ted_client reset
139,105419,2009-06-29 16:38:14,rpd: %DAEMON-: ted_client reset
140,106057,2009-06-29 23:15:08,rpd: %DAEMON-: ted_client reset
141,106133,2009-06-29 23:15:47,rpd: %DAEMON-: ted_client reset
142,106792,2009-06-30 07:40:48,rpd: %DAEMON-: ted_client reset
143,107056,2009-06-30 10:04:13,rpd: %DAEMON-: ted_client reset
144,115182,2009-07-04 10:21:46,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
145,115196,2009-07-04 10:24:22,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
146,117253,2009-07-05 11:32:59,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
147,117521,2009-07-05 14:23:04,rpd: %DAEMON-: ted_client reset
148,117692,2009-07-05 16:38:43,rpd: %DAEMON-: ted_client reset
149,121082,2009-07-07 00:50:30,rpd: %DAEMON-: ted_client reset
