date,time,software/module,type_log,Interface_Descriptor,type
14-05-2009,03:45:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:50:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:50:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:55:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:55:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:00:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:00:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:05:28,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:05:28,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:10:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:10:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:15:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:15:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:20:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:20:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:25:25,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:25:25,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:30:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:30:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:35:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:35:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:40:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:40:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:44:52,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:44:53,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:50:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:50:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,04:55:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,04:55:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:00:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:00:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:05:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:05:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:10:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:10:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:15:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:15:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:20:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:20:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:35:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:35:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:40:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:40:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:45:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:45:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:50:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:50:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,05:55:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,05:55:17,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:00:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:00:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:04:57,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:04:57,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:10:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:10:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:14:54,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:14:54,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:20:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:20:06,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:22:49,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,pp#
14-05-2009,06:25:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:25:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:34:55,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:34:56,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:40:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:40:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
