Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,04:55:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,04:55:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:00:08,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:00:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:05:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:05:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:10:09,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:10:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:15:08,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:15:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:20:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:20:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:35:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:35:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:40:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:40:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:45:08,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:45:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:50:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:50:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,05:55:16,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,05:55:17,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:00:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:00:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:04:57,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:04:57,ifinfo,#,IFINFO_IFD_NAME,IFD,|
