,log_no,date,time
160,1086,2009-05-14 12:40:34,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
161,1092,2009-05-14 12:44:37,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
162,1101,2009-05-14 12:50:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
163,1108,2009-05-14 12:55:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
164,1116,2009-05-14 13:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
165,1123,2009-05-14 13:05:35,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
166,1130,2009-05-14 13:10:45,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
167,1138,2009-05-14 13:15:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
168,1145,2009-05-14 13:20:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
169,1152,2009-05-14 13:25:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
170,1160,2009-05-14 13:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
171,1167,2009-05-14 13:35:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
172,1174,2009-05-14 13:40:45,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
173,1182,2009-05-14 13:45:39,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
174,1189,2009-05-14 13:50:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
175,1196,2009-05-14 13:55:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
176,1204,2009-05-14 14:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
177,1212,2009-05-14 14:05:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
178,1232,2009-05-14 14:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
179,1240,2009-05-14 14:15:07,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
180,1247,2009-05-14 14:20:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
181,1256,2009-05-14 14:25:55,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
182,1260,2009-05-14 14:29:58,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
183,1271,2009-05-14 14:35:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
184,1278,2009-05-14 14:40:39,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
185,1284,2009-05-14 14:45:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
186,1293,2009-05-14 14:50:14,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
187,1300,2009-05-14 14:55:35,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
188,1308,2009-05-14 15:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
189,1315,2009-05-14 15:05:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
190,1322,2009-05-14 15:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
191,1328,2009-05-14 15:15:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
192,1334,2009-05-14 15:20:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
193,1340,2009-05-14 15:25:41,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
194,1346,2009-05-14 15:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
195,1352,2009-05-14 15:35:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
196,1358,2009-05-14 15:40:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
197,1364,2009-05-14 15:45:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
198,1370,2009-05-14 15:50:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
199,1377,2009-05-14 15:55:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
200,1383,2009-05-14 16:00:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
201,1389,2009-05-14 16:05:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
202,1395,2009-05-14 16:10:34,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
203,1401,2009-05-14 16:15:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
204,1407,2009-05-14 16:20:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
205,1414,2009-05-14 16:25:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
206,1420,2009-05-14 16:30:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
207,1426,2009-05-14 16:35:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
208,1432,2009-05-14 16:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
209,1438,2009-05-14 16:45:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
210,1445,2009-05-14 16:50:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
211,1451,2009-05-14 16:55:24,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
212,1457,2009-05-14 17:00:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
213,1463,2009-05-14 17:05:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
214,1483,2009-05-14 17:10:39,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
215,1489,2009-05-14 17:14:52,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
216,1495,2009-05-14 17:20:06,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
217,1501,2009-05-14 17:25:32,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
218,1507,2009-05-14 17:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
219,1513,2009-05-14 17:35:00,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
220,1521,2009-05-14 17:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
221,1525,2009-05-14 17:45:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
222,1531,2009-05-14 17:50:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
223,1539,2009-05-14 17:55:27,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
224,1543,2009-05-14 18:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
225,1551,2009-05-14 18:05:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
226,1555,2009-05-14 18:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
227,1559,2009-05-14 18:15:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
228,1567,2009-05-14 18:20:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
229,1573,2009-05-14 18:25:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
230,1579,2009-05-14 18:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
231,1585,2009-05-14 18:35:07,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
232,1591,2009-05-14 18:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
233,1597,2009-05-14 18:45:08,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
234,1603,2009-05-14 18:50:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
235,1609,2009-05-14 18:55:32,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
236,1615,2009-05-14 19:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
237,1621,2009-05-14 19:05:20,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
238,1627,2009-05-14 19:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
239,1633,2009-05-14 19:15:24,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
240,1639,2009-05-14 19:20:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
241,1644,2009-05-14 19:25:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
242,1650,2009-05-14 19:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
243,1656,2009-05-14 19:35:19,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
244,1662,2009-05-14 19:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
245,1668,2009-05-14 19:45:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
246,1674,2009-05-14 19:50:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
247,1680,2009-05-14 19:55:24,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
248,1686,2009-05-14 20:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
249,1692,2009-05-14 20:05:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
250,1698,2009-05-14 20:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
251,1722,2009-05-14 20:20:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
252,1729,2009-05-14 20:25:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
253,1735,2009-05-14 20:30:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
254,1741,2009-05-14 20:35:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
255,1747,2009-05-14 20:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
256,1753,2009-05-14 20:45:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
257,1759,2009-05-14 20:50:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
258,1765,2009-05-14 20:55:25,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
259,1771,2009-05-14 21:00:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
260,1778,2009-05-14 21:05:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
261,1786,2009-05-14 21:10:39,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
262,1792,2009-05-14 21:15:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
263,1796,2009-05-14 21:20:15,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
