,log_no,date,time
215,123622,2009-07-08 07:48:03,chassisd[]: %DAEMON-: XFCHIP[]: Initializing jspec module xfchip_pre_init
216,126413,2009-07-11 10:37:52,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
217,126414,2009-07-11 10:37:52,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
218,127418,2009-07-12 12:19:01,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
219,127419,2009-07-12 12:19:01,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
220,128014,2009-07-13 02:32:13,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
221,128015,2009-07-13 02:32:13,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
222,128158,2009-07-13 03:41:09,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
223,128159,2009-07-13 03:41:09,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
224,128240,2009-07-13 04:02:58,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
225,128241,2009-07-13 04:02:58,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
226,128296,2009-07-13 04:09:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
227,128297,2009-07-13 04:09:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
228,132424,2009-07-18 10:22:05,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
229,132425,2009-07-18 10:22:05,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
230,132869,2009-07-18 21:37:02,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
231,134531,2009-07-20 21:34:59,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
232,134532,2009-07-20 21:34:59,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
233,134915,2009-07-21 08:47:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
234,134916,2009-07-21 08:47:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
235,139340,2009-07-26 10:57:22,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
236,139341,2009-07-26 10:57:22,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
237,139393,2009-07-26 10:57:53,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
238,139394,2009-07-26 10:57:53,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
239,139663,2009-07-26 15:16:30,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
240,139664,2009-07-26 15:16:30,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
241,139738,2009-07-26 15:17:08,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
242,139739,2009-07-26 15:17:08,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
243,141002,2009-07-28 08:07:28,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
244,141003,2009-07-28 08:07:28,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
245,141270,2009-07-28 14:33:29,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
246,141271,2009-07-28 14:33:29,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
247,141346,2009-07-28 14:35:53,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
248,141347,2009-07-28 14:35:53,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
249,141486,2009-07-28 15:18:54,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
250,141487,2009-07-28 15:18:54,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
251,144615,2009-08-01 10:36:30,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
252,144616,2009-08-01 10:36:30,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
253,144771,2009-08-01 11:54:00,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
254,144772,2009-08-01 11:54:00,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
255,145086,2009-08-01 18:54:02,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
256,145087,2009-08-01 18:54:02,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
257,145183,2009-08-01 19:41:38,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
258,145184,2009-08-01 19:41:38,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
259,146625,2009-08-03 08:57:45,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
260,146626,2009-08-03 08:57:45,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
261,146889,2009-08-03 14:29:33,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
262,147621,2009-08-04 14:39:33,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
263,149434,2009-08-06 13:39:16,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
264,149435,2009-08-06 13:39:16,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
265,149595,2009-08-06 15:17:19,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
266,149596,2009-08-06 15:17:19,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
267,151872,2009-08-09 11:18:32,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
268,153551,2009-08-11 11:02:42,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
269,153552,2009-08-11 11:02:42,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
